Iteration,x,f(x)
1,-5.000000000000000,0.182813566947673
2,5.000000000000000,148.237083482628009
3,0.000000000000000,1.000000000000000
4,-2.500000000000000,1.078171501743493
5,2.500000000000000,11.186407457583879
6,-3.750000000000000,-0.770959880579311
7,-1.250000000000000,-0.388630856432611
8,1.250000000000000,4.165478610754643
9,3.750000000000000,43.315559626498100
10,-4.375000000000000,0.866378901226260
11,-3.125000000000000,-0.234412415241190
12,-1.875000000000000,-0.289762724876210
13,-0.625000000000000,1.467380949147144
14,0.625000000000000,0.936126436804069
15,1.875000000000000,6.963936812051251
16,3.125000000000000,23.038244442391328
17,4.375000000000000,78.586048793277513
18,-4.687500000000000,0.921024978331695
19,-4.062500000000000,0.069720162619700
20,-3.437500000000000,-0.917706476927456
21,-2.812500000000000,0.695519355030689
22,-2.187500000000000,0.601780229835813
23,-1.562500000000000,-0.780459292365254
24,-0.937500000000000,0.619132057330383
25,-0.312500000000000,1.556888552379988
26,0.312500000000000,0.541565017740451
27,0.937500000000000,2.326063027409343
28,1.562500000000000,5.760803861483954
29,2.187500000000000,8.423319641883268
30,2.812500000000000,16.016030276474762
31,3.437500000000000,32.058939575221991
32,4.062500000000000,58.066913965254138
33,4.687500000000000,107.669571444061873
34,-4.843750000000000,-0.607087089202710
35,-4.531250000000000,-0.987297130495687
36,-4.218750000000000,-0.497600352709452
37,-3.906250000000000,0.439533943566442
38,-3.593750000000000,1.013531873530912
39,-3.281250000000000,0.731860356332556
40,-2.968750000000000,-0.150503194208357
41,-2.656250000000000,-0.852074591325591
42,-2.343750000000000,-0.743854506476625
43,-2.031250000000000,0.104905285982876
44,-1.718750000000000,0.989444911296468
45,-1.406250000000000,1.186370778137315
46,-1.093750000000000,0.587983230249621
47,-0.781250000000000,-0.197692975069439
48,-0.468750000000000,-0.367637327290929
49,-0.156250000000000,0.388833858186677
50,0.156250000000000,1.635629915290250
51,0.468750000000000,2.591416786846153
52,0.781250000000000,2.839727147656671
53,1.093750000000000,2.732423352041030
54,1.406250000000000,3.139314096134671
55,1.718750000000000,4.767397374044910
56,2.031250000000000,7.649876086040054
57,2.343750000000000,11.260060876760233
58,2.656250000000000,15.165064021147595
59,2.968750000000000,19.669440592030828
60,3.281250000000000,25.914734081263337
61,3.593750000000000,35.384171957771123
62,3.906250000000000,49.292763167819778
63,4.218750000000000,68.460812945086190
64,4.531250000000000,93.872646120436741
65,4.843750000000000,127.559466696650617
66,-4.921875000000000,-0.905938124182388
67,-4.765625000000000,0.626193443644546
68,-4.609375000000000,-0.169505725161888
69,-4.453125000000000,-0.288556913845388
70,-4.296875000000000,0.724135993692787
71,-4.140625000000000,-0.940828248627205
72,-3.984375000000000,1.000583186293085
73,-3.828125000000000,-0.758659301458069
74,-3.671875000000000,0.424017963396382
75,-3.515625000000000,0.105022475559216
76,-3.359375000000000,-0.497028298552404
77,-3.203125000000000,0.906086023383491
78,-3.046875000000000,-0.951716618821051
79,-2.890625000000000,0.957747612258120
80,-2.734375000000000,-0.531871618771484
81,-2.578125000000000,0.229478334951952
82,-2.421875000000000,0.413905197512413
83,-2.265625000000000,-0.624997430550620
84,-2.109375000000000,1.085366716854598
85,-1.953125000000000,-0.834846132466650
86,-1.796875000000000,0.929533253708178
87,-1.640625000000000,-0.180503375557786
88,-1.484375000000000,0.125185056971421
89,-1.328125000000000,0.818819693401007
90,-1.171875000000000,-0.568526041712334
91,-1.015625000000000,1.362089741531372
92,-0.859375000000000,-0.467139474723670
93,-0.703125000000000,1.070560596438468
94,-0.546875000000000,0.451201083697219
95,-0.390625000000000,0.326756948234370
96,-0.234375000000000,1.537562458915001
97,-0.078125000000000,-0.045850715270391
98,0.078125000000000,2.051957335935636
99,0.234375000000000,0.517621099688762
100,0.390625000000000,1.827781093339097
101,0.546875000000000,1.855399571442428
102,0.703125000000000,1.444530828196427
103,0.859375000000000,3.252250295739842
104,1.015625000000000,1.761174796099555
105,1.171875000000000,4.106351132115138
106,1.328125000000000,3.220114501386277
107,1.484375000000000,4.513665813429832
108,1.640625000000000,5.532754718459752
109,1.796875000000000,5.267054826138830
110,1.953125000000000,8.027362876373905
111,2.109375000000000,7.279034791464855
112,2.265625000000000,10.365908527051864
113,2.421875000000000,10.941814929694312
114,2.578125000000000,13.018854587819618
115,2.734375000000000,15.996921552677497
116,2.890625000000000,17.102352811174779
117,3.046875000000000,22.048685737510247
118,3.203125000000000,23.743863264131342
119,3.359375000000000,29.302988530480370
120,3.515625000000000,33.561651186681132
121,3.671875000000000,38.926983007351019
122,3.828125000000000,46.756661554551229
123,3.984375000000000,52.769705056656676
124,4.140625000000000,63.798826632798146
125,4.296875000000000,72.759316365382745
126,4.453125000000000,86.195145780640487
127,4.609375000000000,100.600830429889314
128,4.765625000000000,116.786796276579366
129,4.921875000000000,138.172957643667075
130,-4.960937500000000,-0.461027107746393
131,-4.882812500000000,-0.962708744008201
132,-4.804687500000000,0.009912752867660
133,-4.726562500000000,0.979968623057554
134,-4.648437500000000,0.474564645288253
135,-4.570312500000000,-0.737286979679228
136,-4.492187500000000,-0.813103389585346
137,-4.414062500000000,0.363594964308620
138,-4.335937500000000,1.006312322262104
139,-4.257812500000000,0.140000124090675
140,-4.179687500000000,-0.917438290218698
141,-4.101562500000000,-0.557569236207683
142,-4.023437500000000,0.674716746533625
143,-3.945312500000000,0.909126939030774
144,-3.867187500000000,-0.208285318365068
145,-3.789062500000000,-0.977318076104413
146,-3.710937500000000,-0.226904751464695
147,-3.632812500000000,0.905575027155180
148,-3.554687500000000,0.702455026898511
